id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15580808,Comfort|Light|Trendy Spot in Back Bay |3BR 1BA #4,1444340,Will,,Back Bay,42.348900825325074,-71.09031367428788,Entire home/apt,300,2,29,2018-08-02,1.85,30,166
15581154,2 Bed 2 Bath Luxury Apartment in Fenway Park #201,72375513,Baron,,Jamaica Plain,42.326462796505275,-71.11285901199184,Entire home/apt,449,1,17,2018-05-26,0.84,4,328
15581608,New Stylish Studio Overlooking Newbury Street!,44341268,Tony,,Back Bay,42.3479831746282,-71.08529347872228,Entire home/apt,249,3,62,2018-07-25,2.81,3,63
15581663,Charming & cozy private room in historic building,11715422,Jasmine,,Beacon Hill,42.358531986572686,-71.06967245887549,Private room,99,1,54,2018-08-06,2.47,1,13
15581676,Cozy & Convenient Southie Apt!,83752176,Lauren,,South Boston,42.33453428993673,-71.03109226017212,Entire home/apt,125,2,1,2017-05-14,0.07,1,0
15581890,Lovely Brownstone on Commonwealth|3 BR 1BA #2,814298,Brent,,Back Bay,42.34843136973312,-71.08858760189433,Entire home/apt,300,2,28,2018-06-24,1.62,44,165
15582004,"Welcoming, cozy condo near Boston.",100203033,Chrep,,Brighton,42.35443662643155,-71.1488738365699,Entire home/apt,200,2,0,,,1,0
15582062,Cozy Studio on Enchanting Newbury Street!,44341268,Tony,,Back Bay,42.347539976239084,-71.08413942531642,Entire home/apt,249,3,72,2018-07-10,3.28,3,57
15582521,North end and TD Garden Boston 1brm,66533138,Val,,North End,42.365604588874056,-71.05688048340369,Entire home/apt,107,1,98,2018-07-29,4.51,5,228
15589328,Boston Commoms supreme location/one bedroom,51058620,Regiane,,Downtown,42.3516249096319,-71.06592461684811,Entire home/apt,140,1,69,2018-08-01,3.21,6,239
15599662,Private Room Close to Public Transport (Downtown),35695159,Srikanth,,Charlestown,42.38281105315127,-71.07864703941715,Private room,75,1,2,2016-10-30,0.09,1,0
15602584,Overlooking the Boston Marathon Finish Line!,100563038,Nick,,Back Bay,42.35052800131635,-71.07950381184338,Entire home/apt,475,1,9,2018-02-18,0.43,1,0
15616726,Beautiful all furnish Home,100685694,Frances,,Roslindale,42.276637172738376,-71.12639378059917,Entire home/apt,195,2,85,2018-08-13,3.88,1,320
15624533,Spacious Room by the Harvard,32304279,Charles And Grace,,Allston,42.360019804528164,-71.12899602237142,Private room,60,2,4,2018-06-11,0.40,3,9
15630129,Industrial 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35119282730472,-71.0617977967471,Entire home/apt,699,2,53,2018-07-24,2.45,292,92
15634401,Heart of Beacon Hill Studio,70971445,Kenneth,,Beacon Hill,42.35741117440544,-71.07128788985223,Entire home/apt,140,3,65,2017-09-21,3.04,1,0
15645642,Freedom Trail Vacation Rental M113,32532791,Marie,,North End,42.36675261439356,-71.05556576104416,Entire home/apt,185,3,15,2018-06-27,0.75,29,159
15659261,Cozy Room in the Middle of South Boston,40622773,Jacob,,South Boston,42.33353659650917,-71.05326354300121,Private room,80,2,16,2018-07-30,1.96,1,56
15660279,Lrg 3 Bdrm Best Location Prvt. Patio Quiet Parking,25146457,Nicholas,,Bay Village,42.350045032259786,-71.06694505847895,Entire home/apt,162,1,80,2018-08-07,3.70,1,178
15665707,"Quite, clean and easy!",16052189,Jonathan,,Hyde Park,42.237036341518085,-71.13285301985408,Private room,44,14,4,2017-07-01,0.19,8,323
15665935,Calm and cosy room in clean Apt,16052189,Jonathan,,Hyde Park,42.23576035181142,-71.13240141117926,Private room,44,7,0,,,8,243
15671680,"1BR, Great location near BCEC and restaurants",45839411,Sheila,,South Boston,42.34094712668821,-71.05074139039338,Private room,199,2,7,2018-06-06,0.51,1,77
15672225,Panoramic 3BR in Lower Allston by Sonder,12243051,Sonder,,Allston,42.362923947337826,-71.12955072766329,Entire home/apt,699,2,44,2018-07-19,2.00,292,99
15673767,112 Myrtle Street Apartment 1,82529160,Mario,,Beacon Hill,42.36015282252053,-71.06938410490595,Entire home/apt,185,2,27,2018-07-31,1.24,35,307
15678463,Large Sunny Room 1 Minute Walk From T Station,92672562,Chris,,Mission Hill,42.33296945900588,-71.09686909447448,Private room,50,1,11,2017-04-16,0.51,1,0
15678924,112 Myrtle Street Apartment 5,82529160,Mario,,Beacon Hill,42.360238124070214,-71.0690326458557,Entire home/apt,135,2,29,2018-06-13,1.34,35,274
15679333,112 Myrtle Street Apartment 7,82529160,Mario,,Beacon Hill,42.36003648530216,-71.06891338938901,Entire home/apt,185,2,34,2018-07-23,1.57,35,226
15680687,112 Myrtle Street Apartment 9,82529160,Mario,,Beacon Hill,42.358252586339695,-71.06843366755865,Entire home/apt,185,2,23,2018-07-17,1.08,35,227
15692812,Cozy & Convenient 1 Bed Apt In Brighton/Brookline,66208451,Jeff,,Brighton,42.34389404043763,-71.14231841870122,Entire home/apt,150,3,6,2018-05-22,0.28,1,0
15710997,Large relaxing apt. next to metro 20min to Boston,6430732,Victoria,,Dorchester,42.29393614727126,-71.06757035058487,Entire home/apt,150,2,57,2018-08-02,3.14,5,200
15714436,Family Home | Amazing Views of Harbor & Downtown!,7651528,Rebekah,,East Boston,42.364104846781544,-71.03206103567032,Entire home/apt,400,3,6,2018-08-05,3.83,1,5
15718448,Bluebird Kenmore Sq 1-BR Near Harvard Med School,95459395,Bluebird,,Fenway,42.34380207377336,-71.0977310375645,Entire home/apt,571,2,1,2018-06-27,0.58,143,349
15718719,South End Spacious Apartment in Excellent Location,15902619,Faris,,South End,42.341723647324585,-71.07864184171927,Entire home/apt,250,1,4,2016-12-26,0.19,1,0
15723015,A cozy room in a great city of Boston R#1,62584702,Francisco,,Dorchester,42.28831683362362,-71.08510510684752,Private room,63,2,1,2018-06-26,0.57,2,72
15726469,Bluebird Gorgeous 1BR Near Boston Children's Hosp,95459395,Bluebird,,West End,42.3648408982119,-71.06761012469269,Entire home/apt,249,5,0,,,143,357
15726711,Bluebird Cozy 2-BR Near Boston Children's Hospital,95459395,Bluebird,,West End,42.363230634221935,-71.06703605570515,Entire home/apt,299,4,0,,,143,307
15726715,Sunny private room next to B-line!,101407131,Lauren,,Brighton,42.34570108303672,-71.13737611665213,Private room,75,1,23,2017-08-22,1.07,1,0
15738758,62* spacious private room near BU/Harvard/BC,25149641,Kiki,,Allston,42.3502255882463,-71.1344380823394,Private room,99,1,17,2018-08-09,1.05,31,324
15757141,Well-Appointed Bedroom in Savin Hill Townhouse,81729791,Michael,,Dorchester,42.310530808795846,-71.0543664444573,Private room,150,1,55,2018-07-22,2.57,2,229
15767124,Top Rated Executive Penthouse★ Deck★ Aug. Open,59234220,Lara,,Beacon Hill,42.36049560890757,-71.06856163507855,Entire home/apt,169,2,87,2018-08-14,4.39,7,322
